hr,planning_id
171.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
171.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
170.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
170.0,2025w18-Tue
171.0,2025w18-Tue
172.0,2025w18-Tue
174.0,2025w18-Tue
175.0,2025w18-Tue
177.0,2025w18-Tue
178.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
178.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
175.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
175.0,2025w18-Tue
177.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
180.0,2025w18-Tue
181.0,2025w18-Tue
179.0,2025w18-Tue
178.0,2025w18-Tue
175.0,2025w18-Tue
174.0,2025w18-Tue
174.0,2025w18-Tue
174.0,2025w18-Tue
174.0,2025w18-Tue
174.0,2025w18-Tue
174.0,2025w18-Tue
174.0,2025w18-Tue
174.0,2025w18-Tue
175.0,2025w18-Tue
175.0,2025w18-Tue
175.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
177.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
179.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
181.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
181.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
178.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
175.0,2025w18-Tue
174.0,2025w18-Tue
